CityStateID,Zip,Population,Latitude,Longitude
9914,01867,25612,42.53505,-71.1055
9988,01876,31004,42.61206,-71.22733
9995,01879,12550,42.66626,-71.42911
10001,01880,27793,42.50348,-71.06559
10039,01886,24690,42.58642,-71.44008
10053,01887,23336,42.56091,-71.16541
10055,01890,23406,42.45177,-71.14628
9809,01901,2419,42.46125,-70.94639
9809,01902,50066,42.4712,-70.93983
9809,01904,21003,42.49151,-70.97166
9809,01905,28221,42.46355,-70.9733
9936,01906,28773,42.46922,-71.01299
9984,01907,15277,42.47572,-70.90684
9846,01908,3325,42.42856,-70.92614
9607,01913,17403,42.85297,-70.94459
9637,01915,41994,42.56841,-70.8647
9645,01921,8250,42.6815,-71.01887
9658,01922,3450,42.75862,-70.91758
9688,01923,27991,42.57398,-70.94923
9723,01929,3621,42.63478,-70.77684
9742,01930,30075,42.62605,-70.68966
9762,01937,107,42.58579,-70.98406
9785,01938,13930,42.68568,-70.83989
9810,01940,13285,42.53523,-71.03695
9812,01944,5403,42.58154,-70.76825
9814,01945,20470,42.49924,-70.86348
9832,01949,9816,42.6043,-71.01641
9855,01950,18652,42.81237,-70.88785
9854,01951,3327,42.77742,-70.85022
9933,01952,9281,42.84655,-70.86163
9898,01960,54474,42.53374,-70.97222
9908,01965,671,42.56294,-70.82996
9921,01966,7009,42.65432,-70.62227
9924,01969,6251,42.72235,-70.88832
9932,01970,44738,42.51298,-70.90266
9961,01982,7680,42.62669,-70.85789
9991,01983,6564,42.63728,-70.94251
10017,01984,4929,42.60078,-70.8826
10027,01985,4591,42.7939,-70.96906
9631,02019,17410,42.0777,-71.47407
9660,02021,24748,42.17504,-71.12645
9679,02025,8427,42.23603,-70.81906
9689,02026,25237,42.24665,-71.1777
9698,02030,5930,42.2366,-71.28421
9716,02032,4992,42.15489,-71.2155
9734,02035,18615,42.06266,-71.24613
9736,02038,33154,42.08622,-71.41126
9766,02043,24283,42.21678,-70.88494
9778,02045,10138,42.28437,-70.88266
9779,02047,182,42.14582,-70.69603
9813,02048,23931,42.01626,-71.21868
9817,02050,25963,42.11443,-70.71487
9823,02052,13068,42.1848,-71.30501
9825,02053,13436,42.15352,-71.42906
9837,02054,8888,42.1693,-71.36261
9862,02056,11673,42.11632,-71.32952
9886,02061,11361,42.16075,-70.81772
9887,02062,31542,42.18563,-71.19464
9938,02066,19099,42.20129,-70.76155
9940,02067,18538,42.10778,-71.18183
9964,02071,2089,42.10392,-71.27002
9978,02072,29225,42.1192,-71.10189
10003,02081,19343,42.14689,-71.25916
10044,02090,16318,42.22024,-71.21057
10063,02093,12297,42.05129,-71.35522
9643,02108,3794,42.35657,-71.06516
9643,02109,3612,42.36498,-71.05277
9643,02110,2342,42.35797,-71.05189
9643,02111,8407,42.35067,-71.06054
9643,02113,6385,42.36526,-71.05524
9643,02114,14418,42.36337,-71.06686
9643,02115,29705,42.34046,-71.09481
9643,02116,21978,42.35105,-71.07638
9643,02118,28946,42.33806,-71.07057
9925,02119,27377,42.32405,-71.08522
9926,02120,15283,42.33212,-71.09654
9695,02121,29040,42.3057,-71.08693
9695,02122,23479,42.29427,-71.05185
9696,02124,56216,42.28583,-71.07114
9695,02125,33662,42.31578,-71.0562
9820,02126,26583,42.27588,-71.0918
9951,02127,36769,42.33455,-71.03875
9704,02128,43345,42.37324,-71.01616
9666,02129,20032,42.37975,-71.06167
9786,02130,40055,42.30823,-71.11515
9922,02131,31151,42.28392,-71.12468
10029,02132,26444,42.27931,-71.16072
9643,02133,62,42.35838,-71.06383
9606,02134,17667,42.35855,-71.12931
9650,02135,43149,42.34989,-71.15417
9783,02136,37265,42.25505,-71.12662
9659,02138,38509,42.37997,-71.13446
9659,02139,40033,42.36224,-71.10253
9659,02140,21204,42.39332,-71.13342
9659,02141,14517,42.37041,-71.08218
9659,02142,4737,42.36295,-71.08189
9949,02143,25513,42.38142,-71.09677
9949,02144,25448,42.40088,-71.122
9949,02145,27495,42.39206,-71.0895
9811,02148,65906,42.43048,-71.05762
9724,02149,50045,42.40643,-71.05446
9670,02150,39908,42.39587,-71.03251
9916,02151,60012,42.41887,-71.004
10057,02152,18759,42.37724,-70.98115
9824,02155,61730,42.42324,-71.10878
9643,02163,1817,42.36717,-71.12509
9911,02169,62993,42.23971,-71.01802
9911,02170,18809,42.26644,-71.01621
9911,02171,20164,42.28709,-71.02604
9826,02176,29650,42.45561,-71.05901
9977,02180,23355,42.47396,-71.09705
9647,02184,38899,42.20386,-71.0022
9839,02186,28735,42.23854,-71.08464
10045,02188,16179,42.20724,-70.95764
9718,02189,14450,42.2111,-70.93135
9966,02190,19695,42.16625,-70.95253
9880,02191,8181,42.24434,-70.94378
9643,02199,1292,42.34748,-71.08199
9643,02203,0,42.36144,-71.05945
9643,02205,0,42.34935,-71.05564
9643,02210,6971,42.34815,-71.03942
9643,02215,24581,42.34741,-71.10276
9652,02301,68969,42.07791,-71.04223
9652,02302,36417,42.08792,-70.99864
9622,02322,4774,42.12666,-71.04922
9649,02324,25704,41.97272,-70.97498
9649,02325,2822,41.98875,-70.96449
9662,02330,11712,41.87388,-70.7563
9703,02332,16185,42.04651,-70.71388
9705,02333,14401,42.03521,-70.94235
9752,02338,7748,41.99138,-70.86326
9754,02339,14845,42.12241,-70.85665
9756,02341,10542,42.05604,-70.87251
9768,02343,11346,42.14733,-71.00484
9830,02346,24505,41.88034,-70.87446
9790,02347,11944,41.83101,-70.9594
9840,02350,118,42.02043,-70.84562
9601,02351,17053,42.11805,-70.95905
9872,02356,12475,42.05519,-71.12071
9872,02357,1566,42.06224,-71.07751
9899,02359,18382,42.06547,-70.8014
9905,02360,63689,41.87817,-70.63089
9788,02364,14027,41.98616,-70.74823
9952,02366,264,41.84868,-70.6613
9906,02367,2935,41.96345,-70.80975
9912,02368,34912,42.17506,-71.05011
9920,02370,17701,42.1295,-70.91002
9957,02375,11275,42.01954,-71.10381
10020,02379,7708,42.02139,-71.0267
10049,02382,15295,42.08,-70.93993
9801,02420,16215,42.45821,-71.21762
9801,02421,18080,42.438,-71.23922
9654,02445,22560,42.32581,-71.13319
9654,02446,31310,42.3435,-71.12179
10004,02451,17393,42.39859,-71.2573
10004,02452,15808,42.39365,-71.2202
10004,02453,31591,42.36918,-71.24101
9624,02457,1881,42.29777,-71.26887
9856,02458,13050,42.35294,-71.18763
9857,02459,18449,42.31515,-71.19174
9861,02460,10099,42.35206,-71.20835
9858,02461,6975,42.31693,-71.20875
9859,02462,1470,42.33102,-71.25599
9860,02464,3833,42.31274,-71.21981
10028,02465,11697,42.34969,-71.22646
9621,02466,8679,42.34541,-71.24759
9675,02467,23001,42.31725,-71.16096
10000,02468,5773,42.32777,-71.23142
10009,02472,35620,42.37,-71.17713
9610,02474,28642,42.42053,-71.15666
9610,02476,17708,42.41597,-71.17437
9632,02478,27175,42.39602,-71.17955
10013,02481,17415,42.31064,-71.27779
10012,02482,11051,42.29455,-71.29859
9849,02492,21424,42.27615,-71.24387
10041,02493,11579,42.35893,-71.30009
9850,02494,11035,42.29959,-71.2317
9657,02532,13267,41.75111,-70.59713
